HEALTH SAFETY AND ENVIRONMENT OFFICER,ESC
INSURANCE AGENT,ESC
KNOWLEDGE PROCESS OUTSOURCING EXECUTIVE,ESC
LIFE INSURANCE AGENT,ESC
LOAN OFFICER,ESC
RETAIL CASHIER,ESC
RETAIL STORE OPERATIONS ASSISTANT,ESC
SERVICE FULFILMENT EXECUTIVE,ESC
VISUAL MERCHANDISER,ESC
ARBITRATOR,ESI
CORPORATE LEGAL ADVISOR/COMPLIANCE OFFICER,ESI
DETECTIVE,ESI
HUMAN RIGHTS LAWYER,ESI
INDIAN FOREIGN SERVICE,ESI
INTERNATIONAL RELATIONS SPECIALIST,ESI
JUDGE,ESI
LAWYER/LAW OFFICER/ADVOCATE,ESI
MEDICO LEGAL ADVISOR,ESI
PATENT LAWYER,ESI
PUBLIC POLICY ADVISOR,ESI
SPORTS LAWYER,ESI
INDIAN POLICE SERVICE,ESR
SUB-INSPECTOR OF POLICE,ESR
ARCHIVIST,ICA
ARCHIVIST,ICA
BIG DATA ANALYST,ICA
EQUITY RESEARCH ANALYST,ICA
HELP DESK ANALYST,ICA
LOGISTICS ANALYST,ICA
MUSEOLOGIST,ICA
SPORTS ANALYST,ICA
SYSTEMS ANALYST,ICA
WEB ANALYST,ICA
ACTUARY,ICE
ECONOMIST,ICE
FINANCIAL ANALYST,ICE
INDUSTRIAL ENGINEER,ICE
PSEPHOLOGIST,ICE
BIOTECHNOLOGY ENGINEER,ICR
DATABASE ADMINISTRATOR,ICR
NETWORK ADMINISTRATOR,ICR
DEMOGRAPHER,ICS
PHARMACIST,ICS
FSSAI OFFICER,IEC
INDIAN FOREST SERVICE,IER
URBAN PLANNER,IER
AGRONOMIST,IRA
ANTHROPOLOGIST,IRA
ARCHAEOLOGIST,IRA
BOTANIST,IRA
ECOLOGIST,IRA
EPIGRAPHIST,IRA
FLORIST,IRA
GEOGRAPHER,IRA
HORTICULTURIST,IRA
METEOROLOGIST,IRA
PALEONTOLOGIST,IRA
PISCICULTURIST,IRA
SHRIMP FARMER,IRA
VEGETABLE GROWER,IRA
VINEYARD GROWER,IRA
ZOOLOGIST,IRA
ACADEMIC RESEARCHER,IRC
AERONAUTICAL ENGINEER,IRC
AGRICULTURAL ENGINEER,IRC
ANAESTHESIOLOGIST,IRC
ARTIFICIAL INTELLIGENCE ENGINEER,IRC
ASTROPHYSICIST,IRC
AUGMENTED REALITY ENGINEER,IRC
BACTERIOLOGIST,IRC
BACTERIOLOGIST,IRC
BIOINFORMATICS ENGINEERING,IRC
BLOCKCHAIN DEVELOPER,IRC
CARDIOLOGIST,IRC
CARTOGRAPHER,IRC
CERAMIC TECHNOLOGIST/ENGINEER,IRC
CHEMICAL ENGINEER,IRC
CIVIL ENGINEER/STRUCTURAL ENGINEER,IRC
CLOUD ENGINEER,IRC
COMPUTER HARDWARE ENGINEER,IRC
COMPUTER NETWORK ARCHITECT,IRC
COMPUTER SCIENCE ENGINEER,IRC
CORROSION ENGINEER,IRC
CYBER SECURITY SPECIALIST,IRC
CYTOLOGIST/CYTOTECHNOLOGIST,IRC
DATA SCIENTIST,IRC
DESIGN ENGINEER,IRC
DEVELOPMENT OPERATIONS ENGINEER,IRC
DRAUGHTSMAN,IRC
ELECTRICAL AND ELECTRONICS ENGINEER,IRC
ELECTRONICS AND COMMUNICATION ENGINEER,IRC
ENGINEERING PHYSICIST,IRC
FINANCIAL ENGINEER,IRC
FIRE AND SAFETY ENGINEER,IRC
FOOD ENGINEER,IRC
FORENSIC ENGINEER,IRC
FORENSIC SCIENTIST,IRC
FULL STACK DEVELOPER,IRC
GENETIC ENGINEER,IRC
GEO-INFORMATICS ENGINEER,IRC
GEO-INFORMATICS ENGINEER,IRC
IMMUNOLOGIST,IRC
INDIAN RAILWAY SERVICE OF ELECTRICAL ENGINEERS,IRC
INDIAN RAILWAY SERVICE OF ENGINEERS,IRC
INDIAN RAILWAY SERVICE OF MECHANICAL ENGINEERS,IRC
INDIAN RAILWAY SERVICE OF SIGNAL ENGINEERS,IRC
INFORMATION TECHNOLOGY ENGINEER,IRC
INSTRUMENTATION ENGINEER,IRC
INTERNET OF THINGS (IOT) SOLUTIONS ARCHITECT,IRC
MANUFACTURING ENGINEER,IRC
MATHEMATICIAN,IRC
METALLURGY ENGINEER,IRC
NANO SCIENTIST,IRC
NANOTECHNOLOGY/NANOSCIENCE ENGINEER,IRC
ONCOLOGIST,IRC
OPHTHALMOLOGIST,IRC
OPTICAL ENGINEER,IRC
OPTOMETRIST,IRC
ORTHOPAEDIST,IRC
ORTHOTIST/PROSTHETIST,IRC
PERIODONTIST,IRC
PHARMACEUTICAL ENGINEER,IRC
POLITICAL SCIENTIST,IRC
PRINTING ENGINEER/TECHNOLOGIST,IRC
PROCESS ENGINEER,IRC
PROGRAMMER/CODER/SOFTWARE ENGINEER,IRC
PULMONOLOGIST,IRC
QUALITY ASSURANCE ENGINEER,IRC
RADIOLOGIST,IRC
RAILWAY ENGINEER,IRC
ROBOTICS ENGINEER,IRC
SALES ENGINEER,IRC
SCIENTIFIC ASSISTANT (IMD),IRC
SEISMOLOGIST,IRC
SMART MANUFACTURING AND AUTOMATION ENGINEERING,IRC
SOIL SCIENTIST,IRC
SOUND ENGINEER,IRC
SPACE SCIENTIST,IRC
STATISTICIAN,IRC
TEXTILE ENGINEER,IRC
TOOL ENGINEER,IRC
TOXICOLOGIST,IRC
UROLOGIST,IRC
VIROLOGIST,IRC
VIRTUAL REALITY ENGINEER,IRC
WATER RESOURCE ENGINEER,IRC
AIR TRAFFIC CONTROLLER,IRE
ENVIRONMENTAL ENGINEER,IRE
GEOLOGIST,IRE
MARINE ENGINEER,IRE
MINING ENGINEER,IRE
PETROLEUM ENGINEER,IRE
PHYSICIST,IRE
BIOMEDICAL ENGINEER,IRS
CHIROPRACTOR,IRS
COSMETIC DERMATOLOGIST,IRS
DENTIST,IRS
DENTO ORAL HYGIENIST,IRS
ENDOCRINOLOGIST,IRS
GYNAECOLOGIST,IRS
SURGEON,IRS
VETERINARIAN,IRS
AYURVEDA DOCTOR,ISA
CRIMINOLOGIST,ISA
EAR NOSE THROAT DOCTOR,ISA
GENERAL PHYSICIAN,ISA
HOMEOPATHY DOCTOR,ISA
MEDICAL REPRESENTATIVE,ISA
MEDICAL TRANSCRIPTIONIST,ISA
MEDICAL WRITER,ISA
NATUROPATHIC DOCTOR,ISA
PAEDIATRICIAN,ISA
SOCIOLOGIST,ISA
UNANI DOCTOR,ISA
CAD JEWELLERY DESIGNER,RAC
BROADCAST ENGINEER,RCI
CAMP HELPER,RCI
AGNIVEER,REC
AIRCRAFT PILOT,REC
INDIAN AIR FORCE OFFICER,REC
INDIAN ARMY OFFICER,REC
INDIAN NAVY OFFICER,REC
LIGHT VEHICLE DRIVER (LMV),REC
LOCO PILOT,REC
MERCHANT NAVY,REC
REFEREE (FOOTBALL),REC
BORDER SECURITY FORCE (BSF),RES
CISF OFFICER,RES
COAST GUARD,RES
CRPF OFFICER,RES
FIRE FIGHTER,RES
INDIAN HOME GUARD,RES
ITBP OFFICER,RES
LIFEGUARD (POOL GUARD & BEACH LIFEGUARD & LIFE SAVER),RES
PARAMEDIC,RES
POLICE CONSTABLE,RES
RAILWAY PROTECTION FORCE (RPF),RES
SPORTS SCOUT,RES
SPORTSPERSON,RES
SSB-SASHASTRA SEEMA BAL OFFICER,RES
UMPIRE (CRICKET),RES
UNARMED SECURITY GUARD,RES
AIRLINE GROUND SUPPORT EQUIPMENT OPERATOR,RIC
ASSISTANT CARPENTER—WOODEN FURNITURE,RIC
ASSISTANT FALSE CEILING AND DRYWALL INSTALLER,RIC
ASSISTANT FITTER: LEVELLING ALIGNMENT AND BALANCING,RIC
ASSISTANT SURVEYOR,RIC
AUTO SERVICE TECHNICIAN LEVEL 3,RIC
AUTO/E-RICKSHAW DRIVER AND TECHNICIAN,RIC
AUTOMOTIVE ELECTRICIAN,RIC
BAMBOO MAT WEAVER,RIC
CCTV INSTALLATION TECHNICIAN,RIC
CNC OPERATOR TURNING,RIC
COMMERCIAL DRIVER,RIC
CONVEYOR OPERATION AND MAINTENANCE TECHNICIAN,RIC
CONVEYOR OPERATION AND MAINTENANCE TECHNICIAN,RIC
DAIRY TECHNOLOGIST,RIC
DATA COLLECTOR OR FIELD SURVEYOR ENUMERATOR,RIC
DIALYSIS TECHNICIAN,RIC
DOORS AND WINDOWS FIXER,RIC
DTH SET TOP BOX INSTALLATION AND SERVICE TECHNICIAN (CABLE TV OPERATOR),RIC
E-WASTE COLLECTOR,RIC
ELECTRIC VEHICLE ASSEMBLY TECHNICIAN,RIC
ELECTRICIAN (GENERAL),RIC
EMERGENCY MEDICAL TECHNICIAN (EMT),RIC
FIELD TECHNICIAN – OTHER HOME APPLIANCES,RIC
FISH AND SEA FOOD PROCESSOR,RIC
FISHERY TECHNICIAN/AQUACULTURE TECHNICIAN,RIC
FITTER & ELECTRICAL AND ELECTRONIC ASSEMBLY,RIC
FITTER – FABRICATION,RIC
FITTER – MECHANICAL ASSEMBLY,RIC
FITTER – PROCESSING,RIC
HELPER – FABRICATION,RIC
HELPER – SHUTTERING CARPENTER,RIC
HOME DELIVERY BOY,RIC
HYDROPONICS TECHNICIAN,RIC
INDUSTRIAL PRODUCTION WORKER – FOOD PROCESSING,RIC
INSTALLER – FRAMELESS GLASS DOORS/WINDOWS,RIC
LAPIDARIST,RIC
LEATHER TECHNOLOGIST,RIC
MASON (GENERAL),RIC
MASON (STONE),RIC
MASON (TILING),RIC
MECHANICAL FITTER,RIC
MEDICAL TECHNICIAN,RIC
